name,value,description
PASSING,-3,It'll be a miracle if his teammate can reach this
PASSING,-2,Scuffs the pass and gestures to the turf
PASSING,-1,He's left that one a bit short
PASSING,-1,Not the cleanest pass he's made
PASSING,1,Confidently plays a cross-field pass
PASSING,1,"Easy 5-yarder, no drama's"
PASSING,2,Slices the defence open with a slide rule pass
PASSING,3,Straight into the corridor of uncertainty
DRIBBLING,-3,The only thing he's stepped over is his reputation
DRIBBLING,-2,It's like he has two left-feet as he trips over the ball
DRIBBLING,-1,Is this the time to try the Elastico?
DRIBBLING,-1,Has he got enough pace here?
DRIBBLING,1,Shuffles past like he’s late for the bus
DRIBBLING,1,A drop of the shoulder and away he goes
DRIBBLING,2,Glides past two like they’re standing in a queue
DRIBBLING,3,"Goes full street football, ankles in jeopardy"
SHOOTING,-3,That one might just be car park bound
SHOOTING,-2,Less power on that than a supermarket battery
SHOOTING,-1,Takes a hopeful poke towards goal
SHOOTING,-1,Has a swing just to keep the defence honest
SHOOTING,1,"A tidy effort, but is it enough?"
SHOOTING,1,Rolls one along for the keeper’s warm-up
SHOOTING,2,Fires a daisy-cutter through the melee
SHOOTING,3,Lets one rip that could wake the neighbours
TACKLING,-3,He's been shrugged off like he's a ghost
TACKLING,-2,"Lunged with confidence, missed with style"
TACKLING,-1,Dangles a foot like he's in the ballet
TACKLING,-1,Will he ever stop backing off?
TACKLING,1,Gets a boot in just when needed
TACKLING,1,Wins it back with a firm statement
TACKLING,2,Slides in with perfect timing
TACKLING,3,Clatters in and wins the lot
INTERCEPTING,-3,And the ball's gone right over his head
INTERCEPTING,-2,He's completely lost his man
INTERCEPTING,-1,He's got his positioning all wrong there
INTERCEPTING,-1,He's read that about 3 seconds too late
INTERCEPTING,1,Reads it early and cuts it out
INTERCEPTING,1,Steps in and calmly picks it off
INTERCEPTING,2,Jumps the lane with perfect timing
INTERCEPTING,3,Leaps in front to halt the counter
SAVING,-3,A goalkeeping horror show
SAVING,-2,Positioning all over the place
SAVING,-1,Parried it straifght into danger
SAVING,-1,Footwork slightly heavy there
SAVING,1,Scoops it up without breaking sweat
SAVING,1,Calmly smothers the ball
SAVING,2,Tips it round the post with poise
SAVING,3,Pulls a save out of nowhere to save the day